"DataItemPath","FieldName","Purpose","LocalFile","ContentHubAssetId","DamId","PublicUrl","ImageFieldXml"
"/sitecore/content/brother/brother/Data/Headers/Site Header","Logo","Scanned from YAML","brother-logo.png","103746","ttgHy3GkSSy_dXtu0bltIA","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/817db3cf8a20462fa960218661a61890","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/817db3cf8a20462fa960218661a61890"" dam-id=""ttgHy3GkSSy_dXtu0bltIA"" alt=""brother-logo"" dam-content-type=""Image"" />"
"/sitecore/content/brother/brother/Data/Hero Banners/Home Banner","Image","Scanned from YAML","product-vc-500w-with-laptop.jpg","103762","T6NciubgQii6Qwfn7NA7Vw","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/e3ef5869a8d14fd7987473d81f9a0bc1","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/e3ef5869a8d14fd7987473d81f9a0bc1"" dam-id=""T6NciubgQii6Qwfn7NA7Vw"" alt=""product-vc-500w-with-laptop"" dam-content-type=""Image"" />"
"/sitecore/content/brother/brother/Data/Hero Banners/Home Banner","PromoImage","Scanned from YAML","product-vc-500w.jpg","103753","WJPs7yvfTzOeRc62TQnsSA","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/ac8967c80c3148c493e18ea460265c21","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/ac8967c80c3148c493e18ea460265c21"" dam-id=""WJPs7yvfTzOeRc62TQnsSA"" alt=""product-vc-500w"" dam-content-type=""Image"" />"
"/sitecore/content/brother/brother/Data/Product Listings/All Devices Listing","Image","Scanned from YAML","web-office-labelling-banner.jpg","104403","inLFeXV_TR2Eiz-w6iJs-w","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/61982902f9c04d2eaa0f62c1dbadeff5","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/61982902f9c04d2eaa0f62c1dbadeff5"" dam-id=""inLFeXV_TR2Eiz-w6iJs-w"" alt=""web-office-labelling-banner"" dam-content-type=""Image"" />"
"/sitecore/content/brother/brother/Data/Product Listings/Labelling Listing","Image","Scanned from YAML","category-office-labelling.jpg","103847","ZqnB_0UyRDejAZJfQF0kdg","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/22c4718f5b134ecdbbd9c6838ce00a0e","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/22c4718f5b134ecdbbd9c6838ce00a0e"" dam-id=""ZqnB_0UyRDejAZJfQF0kdg"" alt=""category-office-labelling"" dam-content-type=""Image"" />"
"/sitecore/content/brother/brother/Data/Product Listings/Printers Listing","Image","Scanned from YAML","web-mps-essential-purchase.jpg","104167","LNgGvuYaTVe8MsvjkckJ2A","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/8c1c0fc813344a4eb60c08d7552c48c1","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/8c1c0fc813344a4eb60c08d7552c48c1"" dam-id=""LNgGvuYaTVe8MsvjkckJ2A"" alt=""web-mps-essential-purchase"" dam-content-type=""Image"" />"
"/sitecore/content/brother/brother/Data/Product Listings/Scanners Listing","Image","Scanned from YAML","web-office-labelling-2.jpg","104368","cSLaBElYRTmr0HzKqAhYfw","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/a7f0e25d5ce6428194c3e0ad50c0f217","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/a7f0e25d5ce6428194c3e0ad50c0f217"" dam-id=""cSLaBElYRTmr0HzKqAhYfw"" alt=""web-office-labelling-2"" dam-content-type=""Image"" />"
"/sitecore/content/brother/brother/Data/Promo Grids/Home Promo Grid","CardOneImage","Scanned from YAML","category-office-labelling.jpg","103847","ZqnB_0UyRDejAZJfQF0kdg","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/22c4718f5b134ecdbbd9c6838ce00a0e","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/22c4718f5b134ecdbbd9c6838ce00a0e"" dam-id=""ZqnB_0UyRDejAZJfQF0kdg"" alt=""category-office-labelling"" dam-content-type=""Image"" />"
"/sitecore/content/brother/brother/Data/Promo Grids/Home Promo Grid","CardThreeImage","Scanned from YAML","mps-peace-of-mind-celebration.jpg","103942","JTf6GqbET2KLVFPF4vu-ng","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/a3ab2da529de4413b533eee5001c3f69","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/a3ab2da529de4413b533eee5001c3f69"" dam-id=""JTf6GqbET2KLVFPF4vu-ng"" alt=""mps-peace-of-mind-celebration"" dam-content-type=""Image"" />"
"/sitecore/content/brother/brother/Data/Promo Grids/Home Promo Grid","CardTwoImage","Scanned from YAML","category-managed-print-service.jpg","103834","-TiH4166RYmdHo9SpFlnRA","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/16d40a1e908746988f71a7c5f4becb0d","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/16d40a1e908746988f71a7c5f4becb0d"" dam-id=""-TiH4166RYmdHo9SpFlnRA"" alt=""category-managed-print-service"" dam-content-type=""Image"" />"
