"Sku","Slug","ProductName","FamilyName","FamilyId","BrandName","BrandId","ContentHubProductId","ContentHubIdentifier","Definition","SitecorePath","MasterAssetIds","MasterAssetFiles","Status","PortalUrl"
"VC500WZU1","vc-500w","VC-500W Full Colour Label Printer","Brother Labelling","105494","Brother","99825","105495","FOT2pusKQ1CxYNjrr660Hw","M.PCM.Product","/sitecore/content/brother/brother/Home/devices/label-printer/vc/vc500w","104635|104652|104627","web-vc500w-store-1.jpg|web-vc500w-store-2.jpg|web-vc500w-photo-printing.jpg","UpdatedRelations","https://starter-verticals-2.sitecoresandbox.cloud/en-us/ch-products/ch-productssearch/ch-productdetails/105495?tab28428=Details"
"QL800ZU1","ql-800","QL-800 Label Printer","Brother Labelling","105494","Brother","99825","105499","EXOX4Bc9Sp6ulW-nvI1X5A","M.PCM.Product","/sitecore/content/brother/brother/Home/devices/label-printer/ql/ql-800","104446|104497|104429","web-ql-800-gallery-1.jpg|web-ql-800-situ-1.jpg|web-ql-800-dk-labels.jpg","Created","https://starter-verticals-2.sitecoresandbox.cloud/en-us/ch-products/ch-productssearch/ch-productdetails/105499?tab28428=Details"
"QL820NWBZU1","ql-820nwb","QL-820NWB Network Label Printer","Brother Labelling","105494","Brother","99825","105500","5xXY6FohStC2LXBhPiRwAA","M.PCM.Product","/sitecore/content/brother/brother/Home/devices/label-printer/ql/ql-820nwb","104453|104512|104470","web-ql-800-gallery-2.jpg|web-ql-800-situ-2.jpg|web-ql-800-gallery-3.jpg","Created","https://starter-verticals-2.sitecoresandbox.cloud/en-us/ch-products/ch-productssearch/ch-productdetails/105500?tab28428=Details"
"PTP750WZU1","pt-p750w","PT-P750W Handheld Labeller","Brother Labelling","105494","Brother","99825","105501","05Dy5B3nQ_6ZHmakVS4IbQ","M.PCM.Product","/sitecore/content/brother/brother/Home/devices/label-printer/pt/pt-p750w","104350|103779|104376","web-office-labelling-1.jpg|product-vc-500w-five-widths.jpg|web-office-labelling-3.jpg","Created","https://starter-verticals-2.sitecoresandbox.cloud/en-us/ch-products/ch-productssearch/ch-productdetails/105501?tab28428=Details"
"TD4550DNWBZU1","td-4550dnwb","TD-4550DNWB Desktop Barcode Printer","Brother Labelling","105494","Brother","99825","105502","vt_biTN7SBu5GKJNK3DLPA","M.PCM.Product","/sitecore/content/brother/brother/Home/devices/label-printer/td/td-4550dnwb","104390|104477|104415","web-office-labelling-4.jpg|web-ql-800-gallery-4.jpg|web-overview-supplies.jpg","Created","https://starter-verticals-2.sitecoresandbox.cloud/en-us/ch-products/ch-productssearch/ch-productdetails/105502?tab28428=Details"
"DCPL3520CDWZU1","dcp-l3520cdw","DCP-L3520CDW Colour Laser","Brother Printers","105496","Brother","99825","105503","BCWfWvxlSeG487JXLghl_w","M.PCM.Product","/sitecore/content/brother/brother/Home/devices/printers/dcp/dcp-l3520cdw","104167|103762|103810","web-mps-essential-purchase.jpg|product-vc-500w-with-laptop.jpg|lifestyle-home-office-desk.jpg","Created","https://starter-verticals-2.sitecoresandbox.cloud/en-us/ch-products/ch-productssearch/ch-productdetails/105503?tab28428=Details"
"MFCL8390CDWZU1","mfc-l8390cdw","MFC-L8390CDW Business Colour Laser","Brother Printers","105496","Brother","99825","105504","nlguByYhSsafvClfJDgoCw","M.PCM.Product","/sitecore/content/brother/brother/Home/devices/printers/mfc/mfc-l8390cdw","103762|104286|104167","product-vc-500w-with-laptop.jpg|web-mps-hero.jpg|web-mps-essential-purchase.jpg","Created","https://starter-verticals-2.sitecoresandbox.cloud/en-us/ch-products/ch-productssearch/ch-productdetails/105504?tab28428=Details"
"HLL2460DNZU1","hl-l2460dn","HL-L2460DN Mono Laser","Brother Printers","105496","Brother","99825","105505","ZphEJHBNShKWGoXtYLmwFg","M.PCM.Product","/sitecore/content/brother/brother/Home/devices/printers/hl/hl-l2460dn","104286|104167|103762","web-mps-hero.jpg|web-mps-essential-purchase.jpg|product-vc-500w-with-laptop.jpg","Created","https://starter-verticals-2.sitecoresandbox.cloud/en-us/ch-products/ch-productssearch/ch-productdetails/105505?tab28428=Details"
"ADS1800WZU1","ads-1800w","ADS-1800W Mobile Scanner","Brother Scanners","105497","Brother","99825","105506","HXwKKtBmR2-86t2jJoQFyw","M.PCM.Product","/sitecore/content/brother/brother/Home/devices/scanners/ads/ads-1800w","104368|103810|104350","web-office-labelling-2.jpg|lifestyle-home-office-desk.jpg|web-office-labelling-1.jpg","Created","https://starter-verticals-2.sitecoresandbox.cloud/en-us/ch-products/ch-productssearch/ch-productdetails/105506?tab28428=Details"
"ADS4900WZU1","ads-4900w","ADS-4900W Workgroup Scanner","Brother Scanners","105497","Brother","99825","105507","h7NfdGlmRzu1sYma7IBeyQ","M.PCM.Product","/sitecore/content/brother/brother/Home/devices/scanners/ads/ads-4900w","104376|104390|104368","web-office-labelling-3.jpg|web-office-labelling-4.jpg|web-office-labelling-2.jpg","Created","https://starter-verticals-2.sitecoresandbox.cloud/en-us/ch-products/ch-productssearch/ch-productdetails/105507?tab28428=Details"
"CZ1003ZU1","cz1003","CZ-1003 Colour Label Roll","Brother Supplies","105498","Brother","99825","105508","lPMq0tunSIWN_Uzs30blOA","M.PCM.Product","/sitecore/content/brother/brother/Home/supplies/label-printers/labels/cz/cz1003","104097|104051|104415","web-cz-1003-main.jpg|web-cz-1003-2.jpg|web-overview-supplies.jpg","Created","https://starter-verticals-2.sitecoresandbox.cloud/en-us/ch-products/ch-productssearch/ch-productdetails/105508?tab28428=Details"
