"DataItemPath","FieldName","LocalFile","Purpose"
"/sitecore/content/brother/brother/Data/Product Listings/All Devices Listing","Image","web-office-labelling-banner.jpg","Product listing All Devices Listing"
"/sitecore/content/brother/brother/Data/Product Listings/Labelling Listing","Image","category-office-labelling.jpg","Product listing Labelling Listing"
"/sitecore/content/brother/brother/Data/Product Listings/Printers Listing","Image","web-mps-essential-purchase.jpg","Product listing Printers Listing"
"/sitecore/content/brother/brother/Data/Product Listings/Scanners Listing","Image","web-office-labelling-2.jpg","Product listing Scanners Listing"
"/sitecore/content/brother/brother/Home/devices/scanners/ads/ads-4900w","Image","web-office-labelling-3.jpg","Device Image"
"/sitecore/content/brother/brother/Home/devices/scanners/ads/ads-4900w","Image2","web-office-labelling-4.jpg","Device Image2"
"/sitecore/content/brother/brother/Home/devices/scanners/ads/ads-4900w","Image3","web-office-labelling-2.jpg","Device Image3"
"/sitecore/content/brother/brother/Home/devices/printers/dcp/dcp-l3520cdw","Image","web-mps-essential-purchase.jpg","Device Image"
"/sitecore/content/brother/brother/Home/devices/printers/dcp/dcp-l3520cdw","Image2","product-vc-500w-with-laptop.jpg","Device Image2"
"/sitecore/content/brother/brother/Home/devices/printers/dcp/dcp-l3520cdw","Image3","lifestyle-home-office-desk.jpg","Device Image3"
"/sitecore/content/brother/brother/Home/devices/label-printer/td/td-4550dnwb","Image","web-office-labelling-4.jpg","Device Image"
"/sitecore/content/brother/brother/Home/devices/label-printer/td/td-4550dnwb","Image2","web-ql-800-gallery-4.jpg","Device Image2"
"/sitecore/content/brother/brother/Home/devices/label-printer/td/td-4550dnwb","Image3","web-overview-supplies.jpg","Device Image3"
"/sitecore/content/brother/brother/Home/devices/printers/mfc/mfc-l8390cdw","Image","product-vc-500w-with-laptop.jpg","Device Image"
"/sitecore/content/brother/brother/Home/devices/printers/mfc/mfc-l8390cdw","Image2","web-mps-hero.jpg","Device Image2"
"/sitecore/content/brother/brother/Home/devices/printers/mfc/mfc-l8390cdw","Image3","web-mps-essential-purchase.jpg","Device Image3"
"/sitecore/content/brother/brother/Home/devices/printers/hl/hl-l2460dn","Image","web-mps-hero.jpg","Device Image"
"/sitecore/content/brother/brother/Home/devices/printers/hl/hl-l2460dn","Image2","web-mps-essential-purchase.jpg","Device Image2"
"/sitecore/content/brother/brother/Home/devices/printers/hl/hl-l2460dn","Image3","product-vc-500w-with-laptop.jpg","Device Image3"
"/sitecore/content/brother/brother/Home/devices/label-printer/pt/pt-p750w","Image","web-office-labelling-1.jpg","Device Image"
"/sitecore/content/brother/brother/Home/devices/label-printer/pt/pt-p750w","Image2","product-vc-500w-five-widths.jpg","Device Image2"
"/sitecore/content/brother/brother/Home/devices/label-printer/pt/pt-p750w","Image3","web-office-labelling-3.jpg","Device Image3"
"/sitecore/content/brother/brother/Home/devices/label-printer/ql/ql-820nwb","Image","web-ql-800-gallery-2.jpg","Device Image"
"/sitecore/content/brother/brother/Home/devices/label-printer/ql/ql-820nwb","Image2","web-ql-800-situ-2.jpg","Device Image2"
"/sitecore/content/brother/brother/Home/devices/label-printer/ql/ql-820nwb","Image3","web-ql-800-gallery-3.jpg","Device Image3"
"/sitecore/content/brother/brother/Home/devices/label-printer/vc/vc500wcr","Image3","web-vc500wcr-store-3.jpg","Device Image3"
"/sitecore/content/brother/brother/Home/devices/scanners/ads/ads-1800w","Image","web-office-labelling-2.jpg","Device Image"
"/sitecore/content/brother/brother/Home/devices/scanners/ads/ads-1800w","Image2","lifestyle-home-office-desk.jpg","Device Image2"
"/sitecore/content/brother/brother/Home/devices/scanners/ads/ads-1800w","Image3","web-office-labelling-1.jpg","Device Image3"
"/sitecore/content/brother/brother/Home/devices","Image","web-office-labelling-banner.jpg","Devices hub"
"/sitecore/content/brother/brother/Home/devices","Image2","category-office-labelling.jpg","Devices hub"
