"Route","PagePath","PageDesign","Partial","Rendering","ComponentMap","DatasourceOrContext","ItemPath","Fields","Notes"
"*","*","Default","Header","Header","Header","datasource","/sitecore/content/capco/capco/Data/Headers/Main Header","Logo; BrandName","Partial. Logo = DAM capco-horizontal.png"
"*","*","Default","Footer","Footer","Footer","datasource","/sitecore/content/capco/capco/Data/Footers/Main Footer","Logo; CopyrightText","Partial. Logo = DAM capco-secondary-awc.png"
"/","/sitecore/content/capco/capco/Home","Default","","HeroBanner","HeroBanner","datasource","/sitecore/content/capco/capco/Data/Hero Banners/Home Hero","Title; Description; Image; Video; CtaLink","Video = home-hero.mp4; Image poster = capco-hero.jpg. WF B Approved."
"/","/sitecore/content/capco/capco/Home","Default","","Promo","Promo","datasource","/sitecore/content/capco/capco/Data/Promos/Expertise","PromoTitle; PromoDescription; PromoImageOne; PromoMoreInfo","Deep industry expertise. Image = expertise.jpg"
"/","/sitecore/content/capco/capco/Home","Default","","Promo","Promo","datasource","/sitecore/content/capco/capco/Data/Promos/Thinking","PromoTitle; PromoDescription; PromoImageOne; PromoMoreInfo","Perspectives promo. Image = thinking.jpg"
"/","/sitecore/content/capco/capco/Home","Default","","InsightsCarousel","InsightsCarousel","datasource","/sitecore/content/capco/capco/Data/Insights Carousels/Home","Heading; Items","Home variant. No Subscribe on Home."
"/perspectives","/sitecore/content/capco/capco/Home/perspectives","Default","","ArticleListing","ArticleListing","children resolver","/sitecore/content/capco/capco/Home/perspectives","child ArticlePage","Faceted listing"
"/perspectives","/sitecore/content/capco/capco/Home/perspectives","Default","","InsightsCarousel","InsightsCarousel","datasource","/sitecore/content/capco/capco/Data/Insights Carousels/Perspectives","Heading; Items",""
"/perspectives","/sitecore/content/capco/capco/Home/perspectives","Default","","Subscribe","Subscribe","datasource","/sitecore/content/capco/capco/Data/Subscribe/Connect","Heading; Cta","Subscribe lives on insights not Home"
"/perspectives/europes-t-plus-1-market-must-prove-readiness","/sitecore/content/capco/capco/Home/perspectives/europes-t-plus-1-market-must-prove-readiness","Default","","ArticleDetails","ArticleDetails / NewsArticle","context item","/sitecore/content/capco/capco/Home/perspectives/europes-t-plus-1-market-must-prove-readiness","Title; Content; Image; Authors; Tags; Sectors; Regions; RelatedContent","Author Elisabeth. Image = tplus1.jpg. Approved."
"/perspectives/europes-t-plus-1-market-must-prove-readiness","/sitecore/content/capco/capco/Home/perspectives/europes-t-plus-1-market-must-prove-readiness","Default","","InsightsCarousel","InsightsCarousel","datasource","/sitecore/content/capco/capco/Data/Insights Carousels/Capital Markets","Heading; Items","Related T+1"
"/perspectives/europes-t-plus-1-market-must-prove-readiness","/sitecore/content/capco/capco/Home/perspectives/europes-t-plus-1-market-must-prove-readiness","Default","","Subscribe","Subscribe","datasource","/sitecore/content/capco/capco/Data/Subscribe/Connect","Heading; Cta",""
"/perspectives/agentic-ai-in-energy-trading","/sitecore/content/capco/capco/Home/perspectives/agentic-ai-in-energy-trading","Default","","ArticleDetails","ArticleDetails / NewsArticle","context item","/sitecore/content/capco/capco/Home/perspectives/agentic-ai-in-energy-trading","Title; Content; Image; WhitepaperUrl; Authors; Tags; Sectors; Services; Regions; Topics","Image = energy-trading.jpg. Whitepaper = DAM PDF. Full taxonomy for bubbles."
"/perspectives/agentic-ai-in-energy-trading","/sitecore/content/capco/capco/Home/perspectives/agentic-ai-in-energy-trading","Default","","InsightsCarousel","InsightsCarousel","datasource","/sitecore/content/capco/capco/Data/Insights Carousels/Energy","Heading; Items",""
"/perspectives/agentic-ai-in-energy-trading","/sitecore/content/capco/capco/Home/perspectives/agentic-ai-in-energy-trading","Default","","Subscribe","Subscribe","datasource","/sitecore/content/capco/capco/Data/Subscribe/Connect","Heading; Cta",""
"/perspectives/canada-payment-fraud","/sitecore/content/capco/capco/Home/perspectives/canada-payment-fraud","Default","","ArticleDetails","ArticleDetails / NewsArticle","context item","/sitecore/content/capco/capco/Home/perspectives/canada-payment-fraud","Title; Content; Image; Authors","Draft. Image = fraud.jpg. Author Charlotte."
"/perspectives/canada-payment-fraud","/sitecore/content/capco/capco/Home/perspectives/canada-payment-fraud","Default","","InsightsCarousel","InsightsCarousel","datasource","/sitecore/content/capco/capco/Data/Insights Carousels/Banking","Heading; Items",""
"/perspectives/energy-sovereignty-cyber-resilience","/sitecore/content/capco/capco/Home/perspectives/energy-sovereignty-cyber-resilience","Default","","ArticleDetails","ArticleDetails / NewsArticle","context item","/sitecore/content/capco/capco/Home/perspectives/energy-sovereignty-cyber-resilience","Title; Content; Image; Authors","Image = energy-sovereignty.jpg"
"/perspectives/from-predictable-to-weather-driven","/sitecore/content/capco/capco/Home/perspectives/from-predictable-to-weather-driven","Default","","ArticleDetails","ArticleDetails / NewsArticle","context item","/sitecore/content/capco/capco/Home/perspectives/from-predictable-to-weather-driven","Title; Content; Image; Authors","Image = weather-driven.jpg"
"/perspectives/ai-assistants-as-the-front-door-to-fs","/sitecore/content/capco/capco/Home/perspectives/ai-assistants-as-the-front-door-to-fs","Default","","ArticleDetails","ArticleDetails / NewsArticle","context item","/sitecore/content/capco/capco/Home/perspectives/ai-assistants-as-the-front-door-to-fs","Title; Content; Image; Authors","Image = banking-hero.jpg"
"/perspectives/reimagining-business-banking-onboarding","/sitecore/content/capco/capco/Home/perspectives/reimagining-business-banking-onboarding","Default","","ArticleDetails","ArticleDetails / NewsArticle","context item","/sitecore/content/capco/capco/Home/perspectives/reimagining-business-banking-onboarding","Title; Content; Image; Authors","Image = onboarding.jpg"
"/perspectives/future-of-analytics","/sitecore/content/capco/capco/Home/perspectives/future-of-analytics","Default","","ArticleDetails","ArticleDetails / NewsArticle","context item","/sitecore/content/capco/capco/Home/perspectives/future-of-analytics","Title; Content; Image","Editorial Review. Image = regulation-glass.jpg"
"/perspectives/regulatory-heatmap","/sitecore/content/capco/capco/Home/perspectives/regulatory-heatmap","Default","","ArticleDetails","ArticleDetails / NewsArticle","context item","/sitecore/content/capco/capco/Home/perspectives/regulatory-heatmap","Title; Content; Image","en Approved; de-DE Editorial Review. Image = regulation-glass.jpg"
"/perspectives/regulatory-horizon","/sitecore/content/capco/capco/Home/perspectives/regulatory-horizon","Default","","ArticleDetails","ArticleDetails / NewsArticle","context item","/sitecore/content/capco/capco/Home/perspectives/regulatory-horizon","Title; Content; Image","Principal Approval. Image = regulation-glass.jpg"
"/people","/sitecore/content/capco/capco/Home/people","Default","","PeopleSearch","PeopleSearch","page + catalog","/sitecore/content/capco/capco/Home/people","Content","Fallback src/lib/people-catalog.ts"
"/people/elisabeth-plakinger","/sitecore/content/capco/capco/Home/people/elisabeth-plakinger","Default","","PersonProfile","PersonProfile","context item","/sitecore/content/capco/capco/Home/people/elisabeth-plakinger","Title; JobTitle; Photo; Biography; Specialisms","Photo = elisabeth-plakinger.jpg. Insights from catalog + events-catalog."
"/people/charlotte-byrne","/sitecore/content/capco/capco/Home/people/charlotte-byrne","Default","","PersonProfile","PersonProfile","context item","/sitecore/content/capco/capco/Home/people/charlotte-byrne","Title; JobTitle; Photo; Biography; Specialisms","Photo = charlotte-byrne.jpg"
"/people/anne-marie-rowland","/sitecore/content/capco/capco/Home/people/anne-marie-rowland","Default","","PersonProfile","PersonProfile","context item","/sitecore/content/capco/capco/Home/people/anne-marie-rowland","Title; JobTitle; Photo; Biography","Photo = anne-marie-rowland.jpg. Pattern only."
"/people/marina-costa","/sitecore/content/capco/capco/Home/people/marina-costa","Default","","PersonProfile","PersonProfile","context item","/sitecore/content/capco/capco/Home/people/marina-costa","Title; JobTitle; Photo; Biography","Photo = marina-costa.jpg"
"/events","/sitecore/content/capco/capco/Home/events","Default","","PageHeading","PageHeading","context item","/sitecore/content/capco/capco/Home/events","Title; Content","PageTrail hidden on /events"
"/events","/sitecore/content/capco/capco/Home/events","Default","","EventListing","EventListing","children + catalog","/sitecore/content/capco/capco/Home/events","child events","src/lib/events-catalog.ts"
"/events/agentic-ai-energy-trading-briefing","/sitecore/content/capco/capco/Home/events/agentic-ai-energy-trading-briefing","Default","","EventDetail","EventDetail","context + catalog","/sitecore/content/capco/capco/Home/events/agentic-ai-energy-trading-briefing","Title; Content","Speaker Elisabeth. Catalog copy."
"/events/t-plus-1-europe-readiness","/sitecore/content/capco/capco/Home/events/t-plus-1-europe-readiness","Default","","EventDetail","EventDetail","context + catalog","/sitecore/content/capco/capco/Home/events/t-plus-1-europe-readiness","Title; Content","Speakers Elisabeth + Charlotte"
"/events/payments-fraud-controls","/sitecore/content/capco/capco/Home/events/payments-fraud-controls","Default","","EventDetail","EventDetail","context + catalog","/sitecore/content/capco/capco/Home/events/payments-fraud-controls","Title; Content","Speaker Charlotte"
"/industries/banking-and-payments","/sitecore/content/capco/capco/Home/industries/banking-and-payments","Default","","IndustryLanding","IndustryLanding","datasource","/sitecore/content/capco/capco/Data/Industry Landings/Banking","Title; Intro; Image","Image = banking-hero.jpg"
"/industries/banking-and-payments","/sitecore/content/capco/capco/Home/industries/banking-and-payments","Default","","InsightsCarousel","InsightsCarousel","datasource","/sitecore/content/capco/capco/Data/Insights Carousels/Banking","Heading; Items",""
"/industries/capital-markets","/sitecore/content/capco/capco/Home/industries/capital-markets","Default","","IndustryLanding","IndustryLanding","datasource","/sitecore/content/capco/capco/Data/Industry Landings/Capital Markets","Title; Intro; Image","Image = tplus1.jpg"
"/industries/energy","/sitecore/content/capco/capco/Home/industries/energy","Default","","IndustryLanding","IndustryLanding","datasource","/sitecore/content/capco/capco/Data/Industry Landings/Energy","Title; Intro; Image","Image = energy-trading.jpg"
"/industries/insurance","/sitecore/content/capco/capco/Home/industries/insurance","Default","","IndustryLanding","IndustryLanding","datasource","/sitecore/content/capco/capco/Data/Industry Landings/Insurance","Title; Intro; Image","Image = regulation-glass.jpg. Hidden nav."
"/industries/wealth-and-asset-management","/sitecore/content/capco/capco/Home/industries/wealth-and-asset-management","Default","","IndustryLanding","IndustryLanding","datasource","/sitecore/content/capco/capco/Data/Industry Landings/Wealth","Title; Intro; Image","Image = onboarding.jpg. Hidden nav."
"/industries/energy/uk-energy","/sitecore/content/capco/capco/Home/industries/energy/uk-energy","Default","","InsightsCarousel","InsightsCarousel","datasource","/sitecore/content/capco/capco/Data/Insights Carousels/UK Energy","Heading; Items",""
"/about-us/expertise-in-action","/sitecore/content/capco/capco/Home/about-us/expertise-in-action","Default","","CaseStudyGrid","CaseStudyGrid","datasource","/sitecore/content/capco/capco/Data/Case Studies/Expertise in Action","Heading; Items","Four cards"
"/ai","/sitecore/content/capco/capco/Home/ai","Default","","CampaignLanding","CampaignLanding","datasource","/sitecore/content/capco/capco/Data/Campaign Landings/AI Infused","Title; Description; Image",""
"/ai","/sitecore/content/capco/capco/Home/ai","Default","","StatBlock","StatBlock","datasource","/sitecore/content/capco/capco/Data/Stat Blocks/AI Infused","Items",""
"/ai","/sitecore/content/capco/capco/Home/ai","Default","","ComparisonBlock","ComparisonBlock","datasource","/sitecore/content/capco/capco/Data/Comparisons/AI Infused","Before; After",""
"/ai/payments","/sitecore/content/capco/capco/Home/ai/payments","Default","","CampaignLanding","CampaignLanding","datasource","/sitecore/content/capco/capco/Data/Campaign Landings/Payments","Title; Description","WF B Awaiting Approval"
"/ai/energy","/sitecore/content/capco/capco/Home/ai/energy","Default","","CampaignLanding","CampaignLanding","datasource","/sitecore/content/capco/capco/Data/Campaign Landings/Energy","Title; Description",""
"/contact","/sitecore/content/capco/capco/Home/contact","Default","","EnquiryForm","EnquiryForm","datasource","/sitecore/content/capco/capco/Data/Enquiry Forms/Contact","HubSpotFormId; Journey",""
"/preferences","/sitecore/content/capco/capco/Home/preferences","Default","","PreferenceCentre","PreferenceCentre","datasource","/sitecore/content/capco/capco/Data/Preference Centres/Register","Industries; Topics; Regions",""
"/capco-institute/journal-62","/sitecore/content/capco/capco/Home/capco-institute/journal-62","Default","","PublicationCard","PublicationCard","datasource","/sitecore/content/capco/capco/Data/Publications/Journal 62","Title; Html; PdfLink",""
