"DataItemPath","FieldName","LocalFile","Purpose","DamId","PublicUrl","ImageFieldXml","Error"
"/sitecore/content/capco/capco/Data/Headers/Main Header","Logo","capco-horizontal.png","Header wordmark","CtKAg1nzQgOr2VUVqoLumQ","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/fabbe2466edf4d6a8f7ee80642247927","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/fabbe2466edf4d6a8f7ee80642247927"" dam-id=""CtKAg1nzQgOr2VUVqoLumQ"" alt=""Capco"" dam-content-type=""Image"" width=""1000"" height=""311"" />",""
"/sitecore/content/capco/capco/Data/Footers/Main Footer","Logo","capco-secondary-awc.png","Footer AWC mark","mMpfO52nRWmYkdvjJnqlmA","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/08a574298cdb4f7d9fb6a8564197add5","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/08a574298cdb4f7d9fb6a8564197add5"" dam-id=""mMpfO52nRWmYkdvjJnqlmA"" alt=""Capco, A Wipro Company"" dam-content-type=""Image"" width=""1000"" height=""311"" />",""
"/sitecore/content/capco/capco/Data/Hero Banners/Home Hero","Image","capco-hero.jpg","Home hero poster (still)","X7W7jpNxQxSA6BRAP6JQRw","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/f3f4a44ba0744a52ae06d47f0cffeab8","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/f3f4a44ba0744a52ae06d47f0cffeab8"" dam-id=""X7W7jpNxQxSA6BRAP6JQRw"" alt=""The Expert Advantage"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Data/Hero Banners/Home Hero","Video","home-hero.mp4","Home hero looping MP4 (capco.com o-banner)","q4btSe0oToWFU_M7iirKJQ","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/25b3b15a98234fcd97ad3bf74950a2ad","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/25b3b15a98234fcd97ad3bf74950a2ad"" dam-id=""q4btSe0oToWFU_M7iirKJQ"" alt=""The Expert Advantage"" dam-content-type=""Video"" />",""
"/sitecore/content/capco/capco/Data/Promos/Expertise","PromoImageOne","expertise.jpg","Home expertise promo","SHZpbtI4RPmzJCEVs1yEaw","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/4541a86e65624b0c8546dbd043b7e19d","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/4541a86e65624b0c8546dbd043b7e19d"" dam-id=""SHZpbtI4RPmzJCEVs1yEaw"" alt=""Deep industry expertise"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Data/Promos/Thinking","PromoImageOne","thinking.jpg","Home Perspectives promo","lrOHEmFiSQWwYr-_KqMhXA","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/83fc7b7565ae438db2bfe2540ae8a853","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/83fc7b7565ae438db2bfe2540ae8a853"" dam-id=""lrOHEmFiSQWwYr-_KqMhXA"" alt=""We connect vision to value"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Data/Industry Landings/Banking","Image","banking-hero.jpg","Banking & Payments landing","B-1V7fMDRZa6HlyGlIgNVQ","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/1e59dfb8e83b4d028d745fcdf6be2b0c","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/1e59dfb8e83b4d028d745fcdf6be2b0c"" dam-id=""B-1V7fMDRZa6HlyGlIgNVQ"" alt=""Banking & Payments"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Data/Industry Landings/Capital Markets","Image","tplus1.jpg","Capital Markets landing","nvutOHc9Q5GrNpM02QK72g","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/3698cfe8fc4a4d00bb94a1c95d1e45ba","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/3698cfe8fc4a4d00bb94a1c95d1e45ba"" dam-id=""nvutOHc9Q5GrNpM02QK72g"" alt=""Capital Markets"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Data/Industry Landings/Energy","Image","energy-trading.jpg","Energy landing","JLq3YOXvSs-DS5WyPmsTUg","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/d3577aa5ffbd485ca977f959d61634f3","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/d3577aa5ffbd485ca977f959d61634f3"" dam-id=""JLq3YOXvSs-DS5WyPmsTUg"" alt=""Energy"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Data/Industry Landings/Insurance","Image","regulation-glass.jpg","Insurance landing","m7iKeQThTByYrbGY8zM7tQ","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/2bc0ec476201435f9c3c0e891b454c76","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/2bc0ec476201435f9c3c0e891b454c76"" dam-id=""m7iKeQThTByYrbGY8zM7tQ"" alt=""Insurance"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Data/Industry Landings/Wealth","Image","onboarding.jpg","Wealth landing","c9vW1MCJTy2QaUZRE8sCyQ","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/b0b72452279f4123861ec0f4fcb24458","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/b0b72452279f4123861ec0f4fcb24458"" dam-id=""c9vW1MCJTy2QaUZRE8sCyQ"" alt=""Wealth and Asset Management"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Home/people/elisabeth-plakinger","Photo","elisabeth-plakinger.jpg","PersonProfile Photo","5gn-5THARViBZMJYA9R5zg","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/fee3986375f24d239e3366e7013a908e","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/fee3986375f24d239e3366e7013a908e"" dam-id=""5gn-5THARViBZMJYA9R5zg"" alt=""Elisabeth Plakinger"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Home/people/charlotte-byrne","Photo","charlotte-byrne.jpg","PersonProfile Photo","tO4WUbR3RKefk-GF_Vjt3Q","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/77e29c276cf64c0ead2440301aae1674","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/77e29c276cf64c0ead2440301aae1674"" dam-id=""tO4WUbR3RKefk-GF_Vjt3Q"" alt=""Charlotte Byrne"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Home/people/anne-marie-rowland","Photo","anne-marie-rowland.jpg","PersonProfile Photo","aFivqClIRYKWJoYoLYmitQ","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/c4e526f71b09423a85e2e29df73a7241","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/c4e526f71b09423a85e2e29df73a7241"" dam-id=""aFivqClIRYKWJoYoLYmitQ"" alt=""Anne-Marie Rowland"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Home/people/marina-costa","Photo","marina-costa.jpg","PersonProfile Photo","VBK1oilTQNCxLpV1hp7MLA","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/c2534fb7f7fb4e86b619cd21fd79196e","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/c2534fb7f7fb4e86b619cd21fd79196e"" dam-id=""VBK1oilTQNCxLpV1hp7MLA"" alt=""Marina Costa"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Home/perspectives/europes-t-plus-1-market-must-prove-readiness","Image","tplus1.jpg","T+1 Perspective hero","nvutOHc9Q5GrNpM02QK72g","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/3698cfe8fc4a4d00bb94a1c95d1e45ba","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/3698cfe8fc4a4d00bb94a1c95d1e45ba"" dam-id=""nvutOHc9Q5GrNpM02QK72g"" alt=""T+1 settlement"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Home/perspectives/agentic-ai-in-energy-trading","Image","agentic-atrium-banner.png","Article banner (capco.com atrium)","i3zDd7hnQt6pULEmfIMvdw","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/e7515ec51d6645c59c85ca63b5170b5f","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/e7515ec51d6645c59c85ca63b5170b5f"" dam-id=""i3zDd7hnQt6pULEmfIMvdw"" alt=""Agentic AI in energy trading"" dam-content-type=""Image"" />",""
"/sitecore/content/capco/capco/Home/perspectives/agentic-ai-in-energy-trading","Infographic","agentic-article-graphic.jpg","JN_7809 energy trading dashboard graphic","zhMlZY9iTZmwuuwjVDFvCw","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/32fc2a3c33264acba4874c5381509c3e","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/32fc2a3c33264acba4874c5381509c3e"" dam-id=""zhMlZY9iTZmwuuwjVDFvCw"" alt=""Energy trading dashboard — fragmented intelligence to explainable market view"" dam-content-type=""Image"" />",""
"/sitecore/content/capco/capco/Home/perspectives/agentic-ai-in-energy-trading","WhitepaperUrl","agentic-ai-energy-trading-whitepaper.pdf","Dummy whitepaper download","EAKzqY1IRCi2w3wDVosC7g","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/c4d6213c0c1f4bd8ae21e235b34c159c","<link text=""Download whitepaper"" linktype=""external"" url=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/c4d6213c0c1f4bd8ae21e235b34c159c"" anchor="""" target=""_blank"" />",""
