"LocalFile","SourceUrl","Purpose","SitecoreItemPath","FieldName"
"pm-logo.png","https://www.pinsentmasons.com/-/media/images/logo/eps_pm-colour-logo_rgb_mobius-302x302.png","Header/Footer logo","/sitecore/content/legal/legal/Data/Headers/Main Header|/sitecore/content/legal/legal/Data/Footers/Main Footer","Logo"
"pm-hero-slide-1.jpg","https://www.pinsentmasons.com/-/media/images/homepage-redesign/hero/hero-slide-1.jpg","Home hero","/sitecore/content/legal/legal/Data/Hero Banners/Home Hero","Image"
"pm-expertise.png","https://www.pinsentmasons.com/-/media/images/homepage-redesign/expertise/2212066---expertise---1920x1080.png","Expertise promo","/sitecore/content/legal/legal/Data/Promos/Expertise","PromoImageOne"
"pm-sectors.jpg","https://www.pinsentmasons.com/-/media/images/homepage-redesign/expertise/sectors/2188806---homepage-sectors---initial-view.jpg","Thinking / sectors promo","/sitecore/content/legal/legal/Data/Promos/Thinking","PromoImageOne"
"dawn-allen.png","https://www.pinsentmasons.com/-/media/images/profile/d/dawn-allen.png","Dawn Allen PersonProfile Photo","/sitecore/content/legal/legal/Home/people/dawn-allen","Photo"
"bill-ryan.png","https://www.pinsentmasons.com/-/media/images/profile/r/ryan-bill.png","Bill Ryan Photo (PersonProfile + PersonRelated)","/sitecore/content/legal/legal/Home/people/bill-ryan","Photo"
"barry-mccaig.png","https://www.pinsentmasons.com/-/media/images/profile/b/barry-mccaig.png","Barry McCaig Photo (PersonProfile + PersonRelated)","/sitecore/content/legal/legal/Home/people/barry-mccaig","Photo"
"bryn-reynolds.png","https://www.pinsentmasons.com/-/media/images/profile/b/bryn-reynolds.png","Bryn Reynolds Photo (PersonProfile + PersonRelated)","/sitecore/content/legal/legal/Home/people/bryn-reynolds","Photo"
"ben-mckinley.png","https://www.pinsentmasons.com/-/media/images/profile/b/ben-mckinley.png","Ben McKinley Photo (PersonProfile + PersonRelated)","/sitecore/content/legal/legal/Home/people/ben-mckinley","Photo"
"hammad-akhtar.png","https://www.pinsentmasons.com/-/media/images/profile/h/hammad-akhtar.png","Hammad Akhtar Photo","/sitecore/content/legal/legal/Home/people/hammad-akhtar","Photo"
"desiree-fields.png","https://www.pinsentmasons.com/-/media/images/profile/d/desiree-fields.png","Désirée Fields Photo","/sitecore/content/legal/legal/Home/people/desiree-fields","Photo"
"dinesh-banani.png","https://www.pinsentmasons.com/-/media/images/profile/d/dinesh-banani.png","Dinesh Banani Photo","/sitecore/content/legal/legal/Home/people/dinesh-banani","Photo"
"david-barker.png","https://www.pinsentmasons.com/-/media/images/profile/d/david-barker.png","David Barker Photo","/sitecore/content/legal/legal/Home/people/david-barker","Photo"
"david-doogan.png","https://www.pinsentmasons.com/-/media/images/profile/d/david-doogan.png","David Doogan Photo","/sitecore/content/legal/legal/Home/people/david-doogan","Photo"
"sally-williamson.png","https://www.pinsentmasons.com/-/media/images/profile/s/sally-williamson.png","Sally Williamson Photo (PersonProfile + CIGA author)","/sitecore/content/legal/legal/Home/people/sally-williamson","Photo"
"pm-careers.jpg","https://www.pinsentmasons.com/-/media/images/homepage-redesign/careers/careers.jpg?rev=1cb0857c7bad4aa189e0005be9589357","Home careers background","/sitecore/content/legal/legal/Data/Promos/Careers","PromoImageOne"
"pm-services.jpg","https://www.pinsentmasons.com/-/media/images/homepage-redesign/expertise/services/2188806---homepage-services---initial-view.jpg","Expertise services tab","/sitecore/content/legal/legal/Data/HomeSections/Expertise","ServicesImage"
"pm-locations.jpg","https://www.pinsentmasons.com/-/media/images/homepage-redesign/expertise/locations/default-state_8451476.jpg","Expertise locations tab","/sitecore/content/legal/legal/Data/HomeSections/Expertise","LocationsImage"
"pm-newsletter.jpg","https://www.pinsentmasons.com/-/media/images/homepage-redesign/newsletter/homepage-newsletter-signup.jpg?rev=907ef21e825449bc974802a056972aa4","Newsletter promo (Home + Person partial)","/sitecore/content/legal/legal/Data/Promos/Newsletter","PromoImageOne"
