"Route","PagePath","PageDesign","Partial","Rendering","ComponentMap","DatasourceOrContext","ItemPath","Fields","Notes"
"*","*","Default / Person","Header","Header","Header (client)","datasource","/sitecore/content/legal/legal/Data/Headers/Main Header","Logo","Partial Header"
"/","/sitecore/content/legal/legal/Home","Default","","HeroBanner","HeroBanner","datasource","/sitecore/content/legal/legal/Data/Hero Banners/Home Hero","Title; Description; Image; CtaLink","Home layout"
"/","/sitecore/content/legal/legal/Home","Default","","HomeExpertise","HomeExpertise (client)","datasource","/sitecore/content/legal/legal/Data/HomeSections/Expertise","Eyebrow; SectorsLabel; ServicesLabel; LocationsLabel; SectorsImage; ServicesImage; LocationsImage; Sectors; Services; Locations","Treelists under ExpertiseLinks"
"/","/sitecore/content/legal/legal/Home","Default","","OutLawHome","OutLawHome","datasource","/sitecore/content/legal/legal/Data/HomeSections/OutLaw","Eyebrow; Heading; Subtitle; MoreLink; Items","Items → OutLawCards"
"/","/sitecore/content/legal/legal/Home","Default","","Promo Newsletter","Promo","datasource","/sitecore/content/legal/legal/Data/Promos/Newsletter","PromoTitle; PromoSubTitle; PromoDescription; PromoImageOne; PromoMoreInfo","Variant Newsletter"
"/","/sitecore/content/legal/legal/Home","Default","","ReachStrength","ReachStrength","datasource","/sitecore/content/legal/legal/Data/HomeSections/Reach","Eyebrow; Heading; MoreLink; Items","Items → awards"
"/","/sitecore/content/legal/legal/Home","Default","","Promo WithBackground","Promo","datasource","/sitecore/content/legal/legal/Data/Promos/Careers","PromoTitle; PromoSubTitle; PromoDescription; PromoImageOne; PromoMoreInfo","Careers photography"
"/","/sitecore/content/legal/legal/Home","Default","","PressReleases","PressReleases","datasource","/sitecore/content/legal/legal/Data/HomeSections/Press","Eyebrow; Heading; MoreLink; Items","Explore all → /about-us/announcements"
"*","*","Default / Person","Footer","Footer","Footer","datasource","/sitecore/content/legal/legal/Data/Footers/Main Footer","Logo; CopyrightText","Partial Footer"
"/people","/sitecore/content/legal/legal/Home/people","Default","","PeopleSearch","PeopleSearch (client)","page + catalog","/sitecore/content/legal/legal/Home/people","Content","Fallback src/lib/people-catalog.ts"
"/people/dawn-allen","/sitecore/content/legal/legal/Home/people/dawn-allen","Person","Person","PersonBreadcrumb","PersonBreadcrumb","context item","/sitecore/content/legal/legal/Home/people/dawn-allen","Title; NavigationTitle","Home / People / name"
"/people/dawn-allen","/sitecore/content/legal/legal/Home/people/dawn-allen","Person","Person","PersonProfile","PersonProfile","context item","/sitecore/content/legal/legal/Home/people/dawn-allen","Title; JobTitle; Phone; Email; Office; LinkedIn; Photo","Hero; Photo = DAM dawn-allen.png"
"/people/dawn-allen","/sitecore/content/legal/legal/Home/people/dawn-allen","Person","Person","PersonQuote","PersonQuote","context item","/sitecore/content/legal/legal/Home/people/dawn-allen","Biography","Bio-intro band"
"/people/dawn-allen","/sitecore/content/legal/legal/Home/people/dawn-allen","Person","Person","PersonExperience","PersonExperience (client)","context treelists","/sitecore/content/legal/legal/Home/people/dawn-allen","ExperienceItems; CredentialItems; Specialisms","Filters from ExperienceItem Sector/Service/Region"
"/people/dawn-allen","/sitecore/content/legal/legal/Home/people/dawn-allen","Person","Person","PersonExperience","PersonExperience (client)","children","/sitecore/content/legal/legal/Data/People/dawn-allen/Experience","Title; Year; Region; Sector; Service; Value","ExperienceItem template"
"/people/dawn-allen","/sitecore/content/legal/legal/Home/people/dawn-allen","Person","Person","PersonExperience","PersonExperience (client)","children","/sitecore/content/legal/legal/Data/People/dawn-allen/Credentials","Year; Detail","CredentialItem template"
"/people/dawn-allen","/sitecore/content/legal/legal/Home/people/dawn-allen","Person","Person","PersonInsights","PersonInsights (client)","context treelist","/sitecore/content/legal/legal/Home/people/dawn-allen","InsightItems","Carousel"
"/people/dawn-allen","/sitecore/content/legal/legal/Home/people/dawn-allen","Person","Person","PersonInsights","PersonInsights (client)","children","/sitecore/content/legal/legal/Data/People/dawn-allen/Insights","Kicker; Title; Date; Summary; Link","InsightItem template"
