"LocalFile","ContentHubAssetId","DamId","PublicLinkId","PublicUrl","RelativeUrl","ImageFieldXml","Brand","AssetType","UsageTag","MetadataStatus"
"openhand-logo.png","107696","1yr7T6coQJe8aBsKfRo5jw","107698","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/d503fda7b0c44aa1b3e31432127dc267","d503fda7b0c44aa1b3e31432127dc267","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/d503fda7b0c44aa1b3e31432127dc267"" dam-id=""1yr7T6coQJe8aBsKfRo5jw"" alt=""Openhand"" dam-content-type=""Image"" />","Openhand","Logo","Used in CMS","Applied"
"hero-give.jpg","","","","","","<Image src=""/openhand/hero-give.jpg"" alt=""hero-give"" />","Openhand","Photography","HomeHero; AEO article; Advice promo","Pending CH upload"
"appeal-winter.jpg","","","","","","<Image src=""/openhand/appeal-winter.jpg"" alt=""appeal-winter"" />","Openhand","Photography","Winter appeal; Leeds walk; news; Give promo","Pending CH upload"
"promo-1.jpg","","","","","","<Image src=""/openhand/promo-1.jpg"" alt=""promo-1"" />","Openhand","Photography","Energy advice; training event; Get Help promo","Pending CH upload"
"promo-2.jpg","","","","","","<Image src=""/openhand/promo-2.jpg"" alt=""promo-2"" />","Openhand","Photography","Rent advice","Pending CH upload"
"promo-3.jpg","","","","","","<Image src=""/openhand/promo-3.jpg"" alt=""promo-3"" />","Openhand","Photography","Newsletter promo; fundraise fallback","Pending CH upload"
"story-1.jpg","","","","","","<Image src=""/openhand/story-1.jpg"" alt=""story-1"" />","Openhand","Photography","Maria story; Story promo","Pending CH upload"
"story-2.jpg","","","","","","<Image src=""/openhand/story-2.jpg"" alt=""story-2"" />","Openhand","Photography","Jamal story; pantry event","Pending CH upload"
"story-3.jpg","","","","","","<Image src=""/openhand/story-3.jpg"" alt=""story-3"" />","Openhand","Photography","Catalog spare","Pending CH upload"
"story-4.jpg","","","","","","<Image src=""/openhand/story-4.jpg"" alt=""story-4"" />","Openhand","Photography","Catalog spare","Pending CH upload"
"partner-1.jpg","","","","","","<Image src=""/openhand/partner-1.jpg"" alt=""partner-1"" />","Openhand","Photography","Northgate partner; Partner promo","Pending CH upload"
"partner-2.jpg","","","","","","<Image src=""/openhand/partner-2.jpg"" alt=""partner-2"" />","Openhand","Photography","St Mark’s partner","Pending CH upload"
"partner-3.jpg","","","","","","<Image src=""/openhand/partner-3.jpg"" alt=""partner-3"" />","Openhand","Photography","Riverside partner","Pending CH upload"
