"Route","PagePath","PageDesign","Partial","Rendering","ComponentMap","DatasourceOrContext","ItemPath","Fields","Notes"
"*","*","Default","Header","Header","Header (client)","datasource","/sitecore/content/nonprofit/nonprofit/Data/Headers/Main Header","Logo; BrandName","Partial Header. Logo = DAM openhand-logo.png"
"*","*","Default","","OhBreadcrumb","OhBreadcrumb (Layout)","path","*","","Layout.tsx before headless-main. Hidden on /"
"*","*","Default","Footer","Footer","Footer","datasource","/sitecore/content/nonprofit/nonprofit/Data/Footers/Main Footer","Logo","Partial Footer. Local PNG on cream chip"
"/","/sitecore/content/nonprofit/nonprofit/Home","Default","","HomeHero","HomeHero","datasource","/sitecore/content/nonprofit/nonprofit/Data/HomeHeros/Home","Title; Description; Image; CtaLink","Image = /openhand/hero-give.jpg until CH upload"
"/","/sitecore/content/nonprofit/nonprofit/Home","Default","","PromoGrid","PromoGrid","datasource","/sitecore/content/nonprofit/nonprofit/Data/PromoGrids/Home","Heading; Intro; Promos","Treelist → Advice; Partner; Story"
"/","/sitecore/content/nonprofit/nonprofit/Home","Default","","Promo ImageLeft","Promo","datasource","/sitecore/content/nonprofit/nonprofit/Data/Promos/Give","PromoTitle; PromoSubTitle; PromoDescription; PromoImageOne; PromoMoreInfo","PromoImageOne = appeal-winter.jpg"
"/","/sitecore/content/nonprofit/nonprofit/Home","Default","","Promo ImageRight","Promo","datasource","/sitecore/content/nonprofit/nonprofit/Data/Promos/Get Help","PromoTitle; PromoSubTitle; PromoDescription; PromoImageOne; PromoMoreInfo","PromoImageOne = promo-1.jpg"
"/","/sitecore/content/nonprofit/nonprofit/Home","Default","","Promo Newsletter","Promo","datasource","/sitecore/content/nonprofit/nonprofit/Data/Promos/Newsletter","PromoTitle; PromoSubTitle; PromoDescription; PromoImageOne; PromoMoreInfo","PromoImageOne = promo-3.jpg"
"/get-help","/sitecore/content/nonprofit/nonprofit/Home/get-help","Default","","AdviceLanding","AdviceLanding","datasource","/sitecore/content/nonprofit/nonprofit/Data/AdviceLandings/Get Help","Heading; Intro","Three remaining advice articles"
"/get-help/help-when-the-money-runs-out","/sitecore/content/nonprofit/nonprofit/Home/get-help/help-when-the-money-runs-out","Default","","AdviceArticle","AdviceArticle","context item","/sitecore/content/nonprofit/nonprofit/Home/get-help/help-when-the-money-runs-out","Title; Content; Summary; Image; Kicker; PublishedDate; ReadTime; Authors","AEO page. Image = hero-give.jpg. Author Jordan Hale"
